Code,Name,Environment
1,Africa - Inland waters,Inland waters
2,"America, North - Inland waters",Inland waters
3,"America, South - Inland waters",Inland waters
4,Asia - Inland waters,Inland waters
5,Europe - Inland waters,Inland waters
6,Oceania - Inland waters,Inland waters
7,Former USSR area - Inland waters,Inland waters
8,Antarctica - Inland waters,Inland waters
18,Arctic Sea (Major Fishing Area 18),Marine areas
21,"Atlantic, Northwest (Major Fishing Area 21)",Marine areas
27,"Atlantic, Northeast (Major Fishing Area 27)",Marine areas
31,"Atlantic, Western-central (Major Fishing Area 31)",Marine areas
34,"Atlantic, Eastern Central (Major Fishing Area 34)",Marine areas
37,Mediterranean and Black Sea (Major Fishing Area 37),Marine areas
41,"Atlantic, Southwest (Major Fishing Area 41)",Marine areas
47,"Atlantic, Southeast (Major Fishing Area 47)",Marine areas
48,"Atlantic, Antarctic (Major Fishing Area 48)",Marine areas
51,"Indian Ocean, Western (Major Fishing Area 51)",Marine areas
57,"Indian Ocean, Eastern (Major Fishing Area 57)",Marine areas
58,"Indian Ocean, Antarctic And Southern (Major Fishing Area 58)",Marine areas
61,"Pacific, Northwest (Major Fishing Area 61)",Marine areas
67,"Pacific, Northeast (Major Fishing Area 67)",Marine areas
71,"Pacific, Western Central (Major Fishing Area 71)",Marine areas
77,"Pacific, Eastern Central (Major Fishing Area 77)",Marine areas
81,"Pacific, Southwest (Major Fishing Area 81)",Marine areas
87,"Pacific, Southeast (Major Fishing Area 87)",Marine areas
88,"Pacific, Antarctic (Major Fishing Area 88)",Marine areas